transcript	zeroOne	annot.x	pident.x	length.x	mismatch	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismach	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_21915_c26_g1_i3.p1	1	sp|Q9P6Y2|SEN2_NEUCR	31.4	188	111	5	101	272	395	580	1.79E-14	76.6	sp|Q9P6Y2|SEN2_NEUCR	31.4	188	111	5	395	580	101	272	4.60E-17	81.3
TRINITY_GG_21915_c27_g1_i2.p1	1	sp|Q96B97|SH3K1_HUMAN	33.1	514	203	17	7	400	2	494	6.27E-59	213	sp|Q96B97|SH3K1_HUMAN	32.8	516	202	17	2	494	7	400	1.16E-58	209
TRINITY_GG_21915_c28_g1_i1.p1	1	sp|Q9V3H2|PSDE_DROME	92.3	311	21	1	1	311	1	308	2.80E-206	568	sp|Q9V3H2|PSDE_DROME	92.3	311	21	1	1	308	1	311	4.62E-207	566
TRINITY_GG_21918_c10_g1_i4.p1	1	sp|O15484|CAN5_HUMAN	37.2	685	373	11	7	686	8	640	8.90E-148	447	sp|O15484|CAN5_HUMAN	37.1	692	377	12	1	640	1	686	7.58E-148	443
TRINITY_GG_21918_c4_g1_i1.p1	1	sp|Q16QY8|RUMI_AEDAE	57.1	396	166	3	11	402	6	401	7.80E-171	486	sp|Q16QY8|RUMI_AEDAE	57.5	391	162	3	11	401	16	402	1.49E-170	482
TRINITY_GG_21918_c8_g1_i1.p1	1	sp|Q7K566|BMCP_DROME	60.5	296	100	4	29	308	7	301	2.51E-124	360	sp|Q7K566|BMCP_DROME	60.5	296	100	4	7	301	29	308	1.00E-125	360
TRINITY_GG_21918_c8_g1_i1.p2	1	sp|Q8N4V1|EMC5_HUMAN	54	100	46	0	1	100	1	100	1.61E-32	113	sp|Q8N4V1|EMC5_HUMAN	54	100	46	0	1	100	1	100	5.69E-36	119
TRINITY_GG_21919_c0_g1_i1.p1	1	sp|E7E2N8|GILT_CARAU	30.3	201	130	6	38	232	42	238	2.27E-26	105	sp|E7E2N8|GILT_CARAU	30.5	200	129	6	42	237	38	231	1.01E-27	105
TRINITY_GG_21920_c3_g1_i1.p1	1	sp|Q8JZX4|SPF45_MOUSE	45	398	161	9	1	366	1	372	4.17E-55	189	sp|Q8JZX4|SPF45_MOUSE	44.3	404	153	11	1	371	1	365	1.47E-59	197
TRINITY_GG_21932_c4_g2_i1.p2	1	sp|A1A5V9|ELP5_DANRE	27.5	313	200	9	1	303	1	296	1.55E-25	106	sp|A1A5V9|ELP5_DANRE	28.3	314	196	10	1	296	1	303	1.45E-21	91.7
TRINITY_GG_21950_c14_g1_i1.p1	1	sp|O46504|PDPR_BOVIN	40.1	674	377	8	69	736	38	690	4.66E-170	514	sp|O46504|PDPR_BOVIN	40.1	674	377	8	38	690	69	736	6.41E-171	513
TRINITY_GG_21954_c1_g1_i1.p1	1	sp|Q9BSV6|SEN34_HUMAN	29.7	313	197	6	1	297	3	308	3.06E-30	119	sp|Q9BSV6|SEN34_HUMAN	29.9	311	186	6	8	308	9	297	1.81E-28	110
TRINITY_GG_21955_c11_g1_i6.p1	1	sp|Q6P9S0|MTSS2_MOUSE	53.7	348	114	3	6	353	5	305	8.75E-106	347	sp|Q6P9S0|MTSS2_MOUSE	53.7	348	114	3	5	305	6	353	2.97E-105	341
TRINITY_GG_21955_c12_g1_i9.p2	1	sp|Q66L58|VAC14_DANRE	57.5	320	124	2	1	310	440	757	9.63E-108	334	sp|Q66L58|VAC14_DANRE	57.5	320	124	2	440	757	1	310	5.14E-108	332
TRINITY_GG_21955_c12_g1_i9.p3	1	sp|Q5ZIW5|VAC14_CHICK	68.5	235	74	0	1	235	1	235	1.45E-105	325	sp|Q5ZIW5|VAC14_CHICK	68.5	235	74	0	1	235	1	235	2.30E-108	330
TRINITY_GG_21955_c8_g1_i1.p1	1	sp|Q9WUN2|TBK1_MOUSE	41.6	644	358	11	4	642	1	631	1.19E-154	469	sp|Q9WUN2|TBK1_MOUSE	38.5	741	418	14	1	714	4	733	1.17E-153	463
TRINITY_GG_21956_c5_g2_i1.p1	1	sp|Q6RHR9|MAGI1_MOUSE	34.1	1483	541	33	27	1352	10	1213	6.22E-225	697	sp|Q6RHR9|MAGI1_MOUSE	34.4	1484	535	36	10	1213	27	1352	5.85E-224	691
TRINITY_GG_21964_c11_g1_i5.p1	1	sp|Q2M389|WASC4_HUMAN	56.7	1138	486	5	4	1134	7	1144	0	1292	sp|Q2M389|WASC4_HUMAN	56.7	1138	486	5	7	1144	4	1134	0	1290
TRINITY_GG_21969_c0_g1_i1.p1	1	sp|Q13887|KLF5_HUMAN	51.6	124	45	4	263	383	293	404	3.35E-24	107	sp|Q13887|KLF5_HUMAN	51.6	124	45	4	293	404	263	383	5.72E-26	108
TRINITY_GG_21971_c16_g1_i3.p1	1	sp|O94842|TOX4_HUMAN	39.3	318	157	10	27	338	4	291	5.06E-34	140	sp|O94842|TOX4_HUMAN	38.9	319	157	10	4	291	27	338	4.62E-36	142
TRINITY_GG_21971_c18_g1_i1.p1	1	sp|Q56K03|RL27A_BOVIN	74.3	148	38	0	1	148	1	148	2.92E-62	191	sp|Q56K03|RL27A_BOVIN	74.3	148	38	0	1	148	1	148	1.46E-64	193
TRINITY_GG_21980_c11_g1_i2.p1	1	sp|Q9W1W9|PADC1_DROME	56.7	171	70	2	49	217	28	196	5.86E-64	199	sp|Q9W1W9|PADC1_DROME	56.7	171	70	2	28	196	49	217	1.24E-64	197
TRINITY_GG_21980_c13_g1_i1.p1	1	sp|Q8K0U4|HS12A_MOUSE	51.6	609	273	4	1	606	84	673	4.67E-221	632	sp|Q8K0U4|HS12A_MOUSE	52.1	609	270	3	84	673	1	606	3.46E-221	629
TRINITY_GG_21980_c14_g1_i4.p1	1	sp|Q8C9S4|CC186_MOUSE	33.1	641	398	8	145	781	228	841	2.99E-62	229	sp|Q8C9S4|CC186_MOUSE	34.9	559	350	4	295	841	225	781	1.99E-68	243
TRINITY_GG_21980_c9_g1_i1.p1	1	sp|P49247|RPIA_HUMAN	55.9	270	92	2	40	309	61	303	1.58E-93	283	sp|P49247|RPIA_HUMAN	55.9	270	92	2	61	303	40	309	1.59E-95	284
TRINITY_GG_21985_c2_g1_i2.p1	1	sp|P29776|ETS6_DROME	63	162	48	3	46	202	196	350	2.28E-55	189	sp|P29776|ETS6_DROME	61.7	167	52	3	191	350	41	202	1.32E-57	192
TRINITY_GG_21986_c4_g1_i1.p1	1	sp|P21914|SDHB_DROME	79.3	270	50	2	22	285	27	296	2.08E-160	451	sp|P21914|SDHB_DROME	82	256	44	1	41	296	32	285	5.09E-161	449
TRINITY_GG_21986_c7_g1_i1.p2	1	sp|Q16RI5|ACP_AEDAE	35.6	73	39	1	30	102	25	89	7.48E-06	44.7	sp|Q16RI5|ACP_AEDAE	35.6	73	39	1	25	89	30	102	4.80E-09	49.3
TRINITY_GG_21988_c0_g1_i1.p1	1	sp|Q3SWX0|NIPA2_BOVIN	54	339	154	2	12	349	1	338	3.40E-121	357	sp|Q3SWX0|NIPA2_BOVIN	57.4	310	131	1	1	309	12	321	2.38E-123	359
TRINITY_GG_21992_c1_g1_i1.p1	1	sp|A1Z3X3|GET4_ORYLA	51.4	251	119	2	1	250	60	308	5.65E-91	275	sp|A1Z3X3|GET4_ORYLA	50.6	263	123	3	60	320	1	258	4.17E-94	280
TRINITY_GG_21992_c5_g1_i4.p1	1	sp|Q8TBP0|TBC16_HUMAN	54.9	319	139	3	220	534	296	613	6.58E-118	368	sp|Q8TBP0|TBC16_HUMAN	52.3	346	153	5	269	613	200	534	3.56E-116	360
TRINITY_GG_22010_c8_g2_i1.p1	1	sp|Q15Q25|SECA_PSEA6	27.1	579	305	21	520	1062	97	594	1.72E-30	135	sp|Q15Q25|SECA_PSEA6	26.9	629	335	24	53	594	472	1062	2.44E-34	142
TRINITY_GG_22018_c6_g1_i6.p1	1	sp|Q96KN3|PKNX2_HUMAN	45.2	409	137	8	35	442	60	382	3.50E-91	290	sp|Q96KN3|PKNX2_HUMAN	45.5	411	135	8	64	388	39	446	6.54E-93	290
TRINITY_GG_22020_c1_g1_i1.p1	1	sp|Q29BL9|LMBD2_DROPS	54.3	715	288	10	6	700	4	699	8.44E-252	715	sp|Q29BL9|LMBD2_DROPS	54.9	700	298	8	9	699	10	700	1.50E-254	719
TRINITY_GG_22021_c11_g1_i2.p1	1	sp|Q5T5C0|STXB5_HUMAN	50.3	1039	428	17	1	993	154	1150	0	996	sp|Q5T5C0|STXB5_HUMAN	50.1	1041	427	17	154	1150	1	993	0	988
TRINITY_GG_22021_c7_g1_i1.p1	1	sp|Q7SXP0|S22BB_DANRE	66.4	214	69	1	1	211	1	214	1.62E-93	275	sp|Q7SXP0|S22BB_DANRE	66.4	214	69	1	1	214	1	211	7.77E-94	272
TRINITY_GG_22022_c7_g1_i2.p1	1	sp|Q2PQH8|GDE_CANLF	51.6	1563	701	22	24	1562	2	1533	0	1570	sp|Q2PQH8|GDE_CANLF	51.6	1563	701	22	2	1533	24	1562	0	1575
TRINITY_GG_22034_c1_g2_i8.p1	1	sp|Q6ZNE5|BAKOR_HUMAN	39.9	333	179	7	21	337	165	492	5.31E-63	211	sp|Q6ZNE5|BAKOR_HUMAN	39.9	333	179	7	165	492	21	337	7.21E-62	204
TRINITY_GG_22049_c6_g1_i1.p1	1	sp|Q9D0F3|LMAN1_MOUSE	44.7	499	238	9	27	518	50	517	6.92E-133	398	sp|Q9D0F3|LMAN1_MOUSE	44.8	500	236	10	50	517	27	518	1.77E-135	401
TRINITY_GG_22049_c6_g1_i1.p2	1	sp|Q9UL45|BL1S6_HUMAN	43.5	131	74	0	15	145	41	171	9.58E-25	96.3	sp|Q9UL45|BL1S6_HUMAN	43.5	131	74	0	41	171	15	145	1.31E-25	95.1
TRINITY_GG_22052_c1_g1_i2.p1	1	sp|Q07093|GCYH_DROME	67.4	307	95	3	1	304	372	676	1.57E-137	407	sp|Q07093|GCYH_DROME	67.4	307	95	3	372	676	1	304	5.64E-138	405
TRINITY_GG_22063_c3_g1_i1.p1	1	sp|Q9VP47|TSR1_DROME	49.9	798	359	9	10	781	7	789	5.33E-252	724	sp|Q9VP47|TSR1_DROME	50.6	797	355	9	7	789	10	781	1.79E-252	722
TRINITY_GG_22070_c3_g1_i3.p1	1	sp|P23647|FUSED_DROME	35	306	176	7	159	447	504	803	1.95E-39	154	sp|P23647|FUSED_DROME	35	306	176	7	504	803	159	447	1.94E-40	154
TRINITY_GG_22080_c20_g2_i1.p1	1	sp|Q6ZN16|M3K15_HUMAN	45.1	1317	612	17	70	1367	89	1313	0	1035	sp|Q6ZN16|M3K15_HUMAN	45.1	1317	612	17	89	1313	70	1367	0	1038
TRINITY_GG_22082_c1_g1_i1.p1	1	sp|P11919|ECLH_MANSE	65.6	64	22	0	127	190	25	88	1.03E-25	97.8	sp|P11919|ECLH_MANSE	65.6	64	22	0	25	88	127	190	6.89E-28	99
TRINITY_GG_22086_c4_g1_i1.p1	1	sp|Q08180|ICCR_DROME	50.6	737	295	12	127	797	27	760	1.67E-239	692	sp|Q08180|ICCR_DROME	50.5	735	299	11	27	760	127	797	8.62E-241	692
TRINITY_GG_22089_c0_g1_i1.p1	1	sp|P31508|ESCA_APIME	93.2	73	4	1	286	358	1	72	1.60E-23	97.1	sp|P31508|ESCA_APIME	93.2	73	4	1	1	72	286	358	3.11E-25	95.9
TRINITY_GG_22093_c5_g1_i1.p2	1	sp|Q6IAN0|DRS7B_HUMAN	55.8	181	80	0	1	181	145	325	9.48E-64	202	sp|Q6IAN0|DRS7B_HUMAN	55.8	181	80	0	145	325	1	181	3.94E-64	200
TRINITY_GG_22122_c1_g1_i1.p1	1	sp|Q96MN9|ZN488_HUMAN	59	83	33	1	515	597	258	339	5.96E-23	103	sp|Q96MN9|ZN488_HUMAN	59	83	33	1	258	339	515	597	1.45E-23	100
TRINITY_GG_22127_c5_g1_i1.p1	1	sp|Q01989|MYS9_DROME	61.8	1242	457	9	2	1237	4	1234	0	1389	sp|Q01989|MYS9_DROME	61.8	1242	457	9	4	1234	2	1237	0	1405
TRINITY_GG_22134_c0_g1_i2.p1	1	sp|Q0E961|BDGED_DROME	43	323	171	5	415	728	497	815	1.51E-65	240	sp|Q0E961|BDGED_DROME	43.2	322	172	5	497	815	415	728	2.72E-66	239
TRINITY_GG_22146_c1_g1_i1.p1	1	sp|P25490|TYY1_HUMAN	74.7	162	28	2	127	279	202	359	1.31E-76	245	sp|P25490|TYY1_HUMAN	74.7	162	28	2	202	359	127	279	1.51E-78	246
TRINITY_GG_22160_c11_g1_i1.p1	1	sp|A3KPW7|PTAR1_DANRE	28.2	380	203	10	22	380	95	425	6.59E-34	133	sp|A3KPW7|PTAR1_DANRE	27.8	392	213	10	83	425	10	380	8.18E-36	135
TRINITY_GG_22160_c12_g1_i1.p1	1	sp|P52183|ANNU_SCHAM	59.8	767	297	4	1	756	1	767	0	967	sp|P52183|ANNU_SCHAM	59.7	772	290	5	1	767	1	756	0	960
TRINITY_GG_22160_c13_g2_i5.p1	1	sp|Q3U284|TM231_MOUSE	38.9	301	180	3	1	298	1	300	1.65E-67	216	sp|Q3U284|TM231_MOUSE	38.9	301	180	3	1	300	1	298	6.85E-72	224
TRINITY_GG_22160_c13_g2_i5.p2	1	sp|Q8N2U9|S66A2_HUMAN	52.6	247	111	3	15	260	15	256	1.47E-85	259	sp|Q8N2U9|S66A2_HUMAN	53.8	238	105	2	15	247	15	252	2.28E-89	265
TRINITY_GG_22160_c13_g2_i5.p3	1	sp|Q5XKA2|TIM21_XENLA	50.9	165	78	2	63	224	68	232	9.59E-53	173	sp|Q5XKA2|TIM21_XENLA	50.9	165	78	2	68	232	63	224	4.23E-56	178
TRINITY_GG_22165_c3_g1_i3.p2	1	sp|Q9P2W9|STX18_HUMAN	49.3	351	138	8	1	329	3	335	6.39E-92	280	sp|Q9P2W9|STX18_HUMAN	49.4	350	137	8	4	335	2	329	2.24E-89	270
TRINITY_GG_22166_c0_g1_i1.p1	1	sp|Q6UWH6|TX261_HUMAN	49.7	145	66	2	11	153	55	194	2.99E-40	137	sp|Q6UWH6|TX261_HUMAN	49.7	145	66	2	55	194	11	153	4.15E-44	143
TRINITY_GG_22170_c0_g1_i2.p1	1	sp|Q6NRQ2|NOC41_XENLA	37.8	481	283	6	17	485	31	507	2.19E-99	312	sp|Q6NRQ2|NOC41_XENLA	37.8	481	283	6	31	507	17	485	5.74E-99	307
TRINITY_GG_22173_c2_g1_i1.p1	1	sp|O76485|CSK2B_SPOFR	90	221	22	0	1	221	1	221	1.23E-158	440	sp|O76485|CSK2B_SPOFR	90	221	22	0	1	221	1	221	3.56E-160	441
TRINITY_GG_22179_c6_g1_i3.p1	1	sp|Q3ZCL5|ARFP2_BOVIN	63.3	270	99	0	71	340	71	340	2.06E-115	340	sp|Q3ZCL5|ARFP2_BOVIN	55.3	331	134	3	24	340	10	340	7.88E-120	348
TRINITY_GG_22179_c6_g1_i3.p2	1	sp|Q1RMR0|RPC7L_BOVIN	46.7	105	53	2	20	122	15	118	2.03E-23	94.4	sp|Q1RMR0|RPC7L_BOVIN	46.7	105	53	2	15	118	20	122	5.97E-25	95.1
TRINITY_GG_22190_c12_g1_i1.p1	1	sp|Q9VZJ9|MUL1_DROME	38.6	350	203	6	1	350	1	338	6.46E-79	248	sp|Q9VZJ9|MUL1_DROME	38.6	350	203	6	1	338	1	350	1.45E-73	230
TRINITY_GG_22190_c12_g1_i1.p3	1	sp|Q32KN5|DNAL4_BOVIN	66.7	87	29	0	53	139	18	104	4.49E-41	135	sp|Q32KN5|DNAL4_BOVIN	66.7	87	29	0	18	104	53	139	2.77E-42	134
TRINITY_GG_22190_c14_g3_i1.p1	1	sp|Q9Z200|SH2B2_RAT	32.9	468	243	17	13	432	17	461	2.18E-52	188	sp|Q9Z200|SH2B2_RAT	33.3	468	241	18	17	461	13	432	9.29E-54	189
TRINITY_GG_22190_c7_g1_i1.p1	1	sp|Q6NYP0|TM208_DANRE	53.7	147	66	2	1	146	1	146	1.75E-44	147	sp|Q6NYP0|TM208_DANRE	53.7	147	66	2	1	146	1	146	5.11E-46	148
TRINITY_GG_22192_c1_g1_i8.p1	1	sp|Q6EMB2|TTLL5_HUMAN	37.3	761	398	9	102	786	62	819	1.24E-167	523	sp|Q6EMB2|TTLL5_HUMAN	37.3	764	398	9	60	819	100	786	1.06E-168	523
TRINITY_GG_22193_c1_g1_i1.p1	1	sp|Q4JL91|IPPK_DANRE	29.5	492	263	20	22	469	11	462	1.75E-40	154	sp|Q4JL91|IPPK_DANRE	29.8	490	264	21	11	462	22	469	1.51E-43	159
TRINITY_GG_22201_c1_g1_i2.p1	1	sp|Q9W056|C1139_DROME	48	421	215	2	62	482	31	447	1.10E-131	392	sp|Q9W056|C1139_DROME	48	421	215	2	31	447	62	482	4.75E-132	389
TRINITY_GG_22214_c0_g1_i1.p1	1	sp|Q6PGC7|S35E3_MOUSE	57.1	303	127	2	3	303	8	309	2.89E-114	335	sp|Q6PGC7|S35E3_MOUSE	57.1	303	127	2	8	309	3	303	3.83E-119	344
TRINITY_GG_22215_c4_g1_i2.p1	1	sp|Q8WWF8|CAPSL_HUMAN	47.2	269	80	2	6	274	2	208	6.80E-31	117	sp|Q8WWF8|CAPSL_HUMAN	46.8	269	81	2	2	208	6	274	9.13E-35	123
TRINITY_GG_22216_c1_g1_i1.p1	1	sp|Q90963|PRRX2_CHICK	87.5	64	8	0	140	203	19	82	1.58E-28	112	sp|Q90963|PRRX2_CHICK	87.5	64	8	0	19	82	140	203	1.47E-29	110
TRINITY_GG_22227_c3_g1_i2.p1	1	sp|Q6DED9|TM267_XENLA	42	169	87	4	22	184	26	189	6.59E-38	133	sp|Q6DED9|TM267_XENLA	42.1	171	88	4	24	189	20	184	3.53E-40	135
TRINITY_GG_22240_c1_g1_i1.p1	1	sp|O77086|C3G_DROME	39.1	1400	643	32	22	1306	265	1569	1.21E-198	627	sp|O77086|C3G_DROME	39.1	1400	658	31	257	1569	14	1306	2.19E-200	628
TRINITY_GG_22241_c2_g1_i1.p1	1	sp|Q6P0I8|EXOS6_DANRE	38.1	273	159	4	1	272	1	264	6.08E-55	182	sp|Q6P0I8|EXOS6_DANRE	38.4	271	157	4	1	262	1	270	8.98E-59	188
TRINITY_GG_22251_c4_g1_i5.p1	1	sp|Q5M9F5|DPH6_RAT	65.9	255	83	1	1	251	1	255	3.38E-114	349	sp|Q5M9F5|DPH6_RAT	65.9	255	83	1	1	255	1	251	3.83E-115	347
TRINITY_GG_22263_c0_g1_i1.p1	1	sp|Q8N5I2|ARRD1_HUMAN	29.4	303	185	11	6	304	7	284	6.49E-27	114	sp|Q8N5I2|ARRD1_HUMAN	29.1	306	188	11	7	287	6	307	2.67E-27	111
TRINITY_GG_22264_c16_g1_i1.p1	1	sp|Q5M7Q1|FLCN_XENTR	38.8	394	209	7	1	362	1	394	9.61E-83	266	sp|Q5M7Q1|FLCN_XENTR	38.8	394	209	7	1	394	1	362	3.97E-85	269
TRINITY_GG_22266_c2_g1_i1.p1	1	sp|Q7M4F3|CUD2_SCHGR	64.5	141	38	5	19	153	1	135	8.48E-51	161	sp|Q7M4F3|CUD2_SCHGR	69.1	123	28	4	19	135	35	153	1.52E-52	162
TRINITY_GG_22273_c0_g1_i1.p1	1	sp|Q4GXG7|RL18_TIMBA	78.2	188	41	0	1	188	1	188	1.39E-100	291	sp|Q4GXG7|RL18_TIMBA	78.2	188	41	0	1	188	1	188	2.82E-102	291
TRINITY_GG_22274_c2_g1_i1.p1	1	sp|Q3UDE2|TTL12_MOUSE	47.2	635	289	11	16	626	26	638	9.77E-201	580	sp|Q3UDE2|TTL12_MOUSE	46.8	635	292	11	26	638	16	626	1.07E-199	574
TRINITY_GG_22274_c3_g1_i2.p1	1	sp|P42696|RBM34_HUMAN	44.4	189	100	3	91	275	175	362	6.38E-37	142	sp|P42696|RBM34_HUMAN	44.4	189	100	3	175	362	91	275	7.24E-39	144
TRINITY_GG_22274_c3_g1_i2.p2	1	sp|Q8CAK1|CAF17_MOUSE	37	327	166	8	39	346	52	357	2.28E-57	193	sp|Q8CAK1|CAF17_MOUSE	37	327	166	8	52	357	39	346	2.61E-58	192
TRINITY_GG_22274_c3_g1_i2.p4	1	sp|Q6NVV7|CDPF1_HUMAN	42.9	98	56	0	16	113	11	108	1.60E-29	105	sp|Q6NVV7|CDPF1_HUMAN	43.3	97	55	0	11	107	16	112	1.70E-31	107
TRINITY_GG_22299_c5_g1_i1.p1	1	sp|Q7K0E3|MOB4_DROME	87	223	27	1	1	221	1	223	1.35E-142	400	sp|Q7K0E3|MOB4_DROME	87	223	27	1	1	223	1	221	3.92E-144	400
TRINITY_GG_22299_c6_g1_i2.p1	1	sp|O00400|ACATN_HUMAN	60.1	361	141	2	34	394	67	424	8.65E-146	429	sp|O00400|ACATN_HUMAN	60.3	360	140	2	67	423	34	393	7.91E-148	431
TRINITY_GG_22307_c11_g1_i1.p1	1	sp|O15228|GNPAT_HUMAN	40.4	354	203	3	3	354	34	381	3.15E-80	263	sp|O15228|GNPAT_HUMAN	44.7	302	166	1	34	334	3	304	5.89E-81	262
TRINITY_GG_22307_c12_g1_i1.p1	1	sp|Q63616|VP33B_RAT	34.3	601	364	10	12	588	18	611	1.07E-106	337	sp|Q63616|VP33B_RAT	34.2	603	366	10	16	611	10	588	2.73E-110	342
TRINITY_GG_22307_c13_g1_i5.p1	1	sp|F1MKX4|PSME4_BOVIN	41.6	1871	1007	20	13	1848	25	1845	0	1415	sp|F1MKX4|PSME4_BOVIN	41.6	1871	1007	20	25	1845	13	1848	0	1415
TRINITY_GG_22307_c13_g1_i5.p2	1	sp|A1L2S8|ZFPL1_XENLA	45.1	337	152	7	1	322	1	319	4.39E-92	280	sp|A1L2S8|ZFPL1_XENLA	45.5	330	161	7	1	319	1	322	2.33E-91	274
TRINITY_GG_22309_c0_g1_i7.p1	1	sp|Q8TBZ3|WDR20_HUMAN	50.1	625	238	17	6	620	4	564	6.03E-196	565	sp|Q8TBZ3|WDR20_HUMAN	50.1	631	229	20	4	564	6	620	8.43E-195	558
TRINITY_GG_22311_c4_g1_i5.p1	1	sp|Q07157|ZO1_HUMAN	38	844	419	16	9	767	8	832	3.28E-150	499	sp|Q07157|ZO1_HUMAN	38.1	845	417	16	8	832	9	767	7.05E-143	475
TRINITY_GG_22324_c12_g1_i1.p1	1	sp|Q8K301|DDX52_MOUSE	48.9	452	199	5	1	421	1	451	2.61E-130	391	sp|Q8K301|DDX52_MOUSE	47.5	463	189	5	1	451	1	421	9.40E-133	394
TRINITY_GG_22324_c13_g1_i6.p1	1	sp|Q8SWR8|ATX2_DROME	52.5	217	98	4	25	239	51	264	2.76E-54	210	sp|Q8SWR8|ATX2_DROME	49.2	240	117	4	28	264	2	239	4.89E-57	214
TRINITY_GG_22324_c14_g1_i2.p1	1	sp|Q8N697|S15A4_HUMAN	38	519	286	12	34	524	40	550	1.22E-102	323	sp|Q8N697|S15A4_HUMAN	37.8	519	287	11	40	550	34	524	5.35E-100	313
TRINITY_GG_22326_c2_g1_i2.p1	1	sp|Q9BXJ9|NAA15_HUMAN	65.8	612	199	3	7	616	6	609	1.22E-293	825	sp|Q9BXJ9|NAA15_HUMAN	65.5	618	202	4	1	609	1	616	4.85E-295	825
TRINITY_GG_22326_c3_g1_i5.p1	1	sp|Q5XIL3|RPC3_RAT	36.5	436	244	8	5	412	96	526	2.67E-85	273	sp|Q5XIL3|RPC3_RAT	36.5	436	244	8	96	526	5	412	5.49E-86	271
TRINITY_GG_22345_c15_g1_i2.p1	1	sp|A7YWS7|DPOE2_BOVIN	46.4	522	275	4	19	537	5	524	2.63E-173	503	sp|A7YWS7|DPOE2_BOVIN	46.8	515	269	4	12	524	26	537	6.50E-176	506
TRINITY_GG_22361_c10_g1_i1.p1	1	sp|Q9BLC5|HSP83_BOMMO	87.7	726	79	3	1	726	1	716	0	1186	sp|Q9BLC5|HSP83_BOMMO	87.7	726	79	3	1	716	1	726	0	1180
TRINITY_GG_22361_c26_g1_i1.p1	1	sp|Q9W0S7|SND1_DROME	60	912	349	13	3	901	17	925	0	1035	sp|Q9W0S7|SND1_DROME	60	912	349	13	17	925	3	901	0	1045
TRINITY_GG_22361_c33_g1_i1.p1	1	sp|P08879|NDKA_DROME	77.1	153	35	0	17	169	1	153	7.45E-88	256	sp|P08879|NDKA_DROME	77.1	153	35	0	1	153	17	169	3.89E-89	256
TRINITY_GG_22364_c10_g1_i4.p1	1	sp|Q9JKF1|IQGA1_MOUSE	34.1	1256	772	17	1	1205	370	1620	8.67E-204	640	sp|Q9JKF1|IQGA1_MOUSE	34.4	1211	739	15	408	1613	38	1198	5.08E-204	637
TRINITY_GG_22364_c13_g1_i10.p1	1	sp|Q5M824|SHC1_RAT	45	467	193	11	15	445	29	467	4.02E-109	333	sp|Q5M824|SHC1_RAT	44.5	467	195	12	29	467	15	445	1.07E-114	344
TRINITY_GG_22364_c9_g1_i2.p1	1	sp|P24862|CCNB_PATVU	47.3	279	137	4	165	439	105	377	1.09E-77	250	sp|P24862|CCNB_PATVU	47.3	279	137	4	105	377	165	439	4.14E-79	250
TRINITY_GG_22365_c2_g1_i2.p1	1	sp|Q0P5F3|LIN7C_BOVIN	84.6	195	30	0	1	195	1	195	4.34E-113	323	sp|Q0P5F3|LIN7C_BOVIN	84.6	195	30	0	1	195	1	195	2.07E-113	320
TRINITY_GG_22396_c1_g1_i1.p1	1	sp|Q9ULL1|PKHG1_HUMAN	52.6	325	153	1	239	563	111	434	1.82E-96	345	sp|Q9ULL1|PKHG1_HUMAN	52.6	325	153	1	111	434	239	563	2.80E-98	346
TRINITY_GG_22403_c1_g1_i1.p1	1	sp|P13360|GLAS_DROME	33.1	423	139	18	53	429	138	462	1.20E-25	114	sp|P13360|GLAS_DROME	32.9	423	140	17	138	462	53	429	8.60E-30	123
TRINITY_GG_22412_c8_g1_i1.p1	1	sp|Q8BR63|F177A_MOUSE	39.1	138	74	5	33	162	44	179	4.79E-21	88.6	sp|Q8BR63|F177A_MOUSE	47.4	95	45	3	44	137	33	123	8.50E-23	89.7
TRINITY_GG_22421_c2_g1_i1.p1	1	sp|Q8CHT3|INT5_MOUSE	34.5	1019	538	31	10	945	27	999	2.87E-121	397	sp|Q8CHT3|INT5_MOUSE	34.3	1019	540	31	27	999	10	945	5.47E-130	417
TRINITY_GG_22426_c4_g1_i1.p1	1	sp|X2JAU8|NWK_DROME	58	816	277	8	1	816	1	750	2.82E-302	866	sp|X2JAU8|NWK_DROME	56.4	844	302	7	1	778	1	844	9.37E-305	874
TRINITY_GG_22429_c2_g1_i1.p1	1	sp|Q9VCW3|NU133_DROME	34.6	1158	697	28	36	1158	56	1188	7.66E-212	647	sp|Q9VCW3|NU133_DROME	34.3	1157	702	27	56	1188	36	1158	5.41E-215	652
TRINITY_GG_22429_c2_g1_i1.p2	1	sp|Q6AXL8|ZMAT5_DANRE	38.7	168	89	4	1	156	1	166	1.74E-33	119	sp|Q6AXL8|ZMAT5_DANRE	38.7	168	89	4	1	166	1	156	4.27E-34	117
TRINITY_GG_22439_c7_g1_i1.p1	1	sp|Q9W1X4|NU214_DROME	36.3	344	196	8	11	348	10	336	1.07E-57	205	sp|Q9W1X4|NU214_DROME	36.3	344	196	8	10	336	11	348	2.52E-59	207
TRINITY_GG_22439_c7_g1_i1.p2	1	sp|Q9V4N3|CYB5_DROME	58.6	128	52	1	2	129	3	129	1.32E-49	157	sp|Q9V4N3|CYB5_DROME	58.6	128	52	1	3	129	2	129	7.25E-49	152
